Comment,Designator,Footprint,LCSC Part #
120pF/50V C0G 0603(C_pole),C40,C0603,C107035
Nano2 保险丝座(配 4A 慢断 C99551),"F2,F3,F4,F5,F6,F7",FUSE-SMD_L9.8-W5.0_01550900M,C108518
40.2kΩ 0603,"R20,R21,R26,R27,R32,R33,R38,R39,R44,R45,R50,R51,R67",R0603,C12447
100nF 0603,"C6,C11,C13,C14,C15,C17,C19,C21,C23,C25,C27,C28,C29,C30,C31,C34,C38,C43",C0603,C14663
10µF/25V 0805,"C10,C12,C42",C0805,C15850
Type-C 16P 贴板式,J2,USB-C_SMD-TYPE-C-31-M-12_1,C165948
"1Ω ±1% 1206(阻尼电阻,起始值)",R68,R1206,C17928
BZT52C12 12V 稳压管 SOD-123,DZ1,SOD-123_L2.7-W1.6-LS3.7-RD,C19077410
SMBJ26A TVS,"D1,D7,D8,D11,D12,D15,D16,D19,D20,D23,D24,D27,D28",SMB_L4.6-W3.6-LS5.3-RD,C19077580
MMBT3904 NPN(总断路电平转换),"Q3,Q6",SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,C20526
33nF/50V X7R 0603(C_comp),C39,C0603,C21117
1kΩ 0603,"R8,R54,R55,R56,R57",R0603,C21190
S8050 SOT-23,"Q4,Q5",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,C2146
100Ω 0603 栅阻,"R16,R17,R22,R23,R28,R29,R34,R35,R40,R41,R46,R47",R0603,C22775
102kΩ ±1% 0603(R_hi),R63,R0603,C22858
红 0603,LED1,0603,C2286
18.2kΩ ±1% 0603(R_lo),R64,R0603,C22892
翠绿 0805,"LED2,LED3,LED4,LED5,LED6,LED7,LED8,LED9,LED10,LED11,LED12,LED13",0805,C2297
4.7kΩ 0603,"R52,R53",R0603,C23162
5.1kΩ 0603,"R9,R10",R0603,C23186
590kΩ ±1% 0603(UVLO1),R66,R0603,C23208
100kΩ 0603,"R1,R3,R15",R0603,C25803
10kΩ 0603(Q3 基极串阻),"R2,R4,R5,R11,R12,R13,R14,R18,R19,R24,R25,R30,R31,R36,R37,R42,R43,R48,R49,R58,R59,R60,R61",R0603,C25804
200kΩ ±1% 0603(R_T),R62,R0603,C25811
4.75kΩ ±1% 0603(R_comp),R65,R0603,C25972
C2836439,"C1,C2,C3,C4,C5,C16,C18,C20,C22,C24,C26,C35",CAP-SMD_BD8.0-L8.3-W8.3-LS9.3-FD,C2836439
INA237AIDGSR VSSOP-10,U1,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL,C2864837
UMW 20N06 TO-252,"Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18",TO-252-2_L6.6-W6.1-P4.57-LS10.1-BL-1,C2890395
Qwiic JST-SH 1.0mm 4P 卧贴,J9,CONN-SMD_4P-P1.00_SHOU-HAN_1.0-4P-WT,C2906270
22µF/25V X7R 1210 ×2,"C36,C37",C1210,C309062
TS-1187A 轻触开关,"SW1,SW2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5,C318884
SQD50P06-15L-GE3 P-MOS,"Q1,Q2",TO-252-2_L6.6-W6.1-P4.58-LS9.9-BR,C3281500
Keystone 3557-2 双联 ATO 保险丝座,F1,FUSE-TH_4P-L19.8-W6.7_3557-2,C352820
SS36B 续流 SMB,"D2,D3,D4,D5,D6,D9,D10,D13,D14,D17,D18,D21,D22,D25,D26",SMB_L4.6-W3.6-LS5.3-RD,C35490
XH2.54-4P 立式,J10,CONN-TH_4P-P2.50_XH-4A,C37815
4.7µF/100V X7R 1210,"C32,C33,C44,C45,C46",C1210,C381466
KF2EDGV-3.81-3P 针座,"J3,J4,J5,J6,J7,J8",CONN-TH_3P-P3.81_KF2EDGV-3.81-3P,C441333
22µF/25V 0805,C41,C0805,C45783
2mΩ ±1% 3W 2512 合金采样电阻,RS1,R2512,C459679
KF128-2.54-5P 端子,J11,CONN-TH_5P-P2.54_KF128-2.54-5P,C474923
74HCT245PW TSSOP-20,"U6,U7",TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL,C52140501
TPS54360BDDAR HSOIC-8 PowerPAD,U2,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL-EP2.0,C524806
AMS1117-3.3 SOT-223,U3,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,C6186
mSMD110-33V 1.1A/33V 1812,PTC1,F1812,C70119
ESP32-WROOM-32E-N4,U4,WIFI-SMD_ESP32-WROOM-32E,C701341
KF7.62-2P 输入端子(24A),J1,CONN-TH_KF7.62-2P,C707824
CH340C SOP-16,U5,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,C84681
"33µH,Isat ≥5.5A,DCR 65mΩ,12.3×12.3mm",L1,IND-SMD_L12.3-W12.3,C9400
无需采购,"H1,H2,H3,H4",MountingHole_3.2mm_M3,
测试焊盘,"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9",TestPoint_Pad_D1.5mm,
