LCSC,数量,位号,描述,封装
C107035,1,C40,120pF/50V C0G 0603(C_pole),C0603
C108518,6,F2 F3 F4 F5 F6 F7,Nano2 保险丝座(配 4A 慢断 C99551),FUSE-SMD_L9.8-W5.0_01550900M
C12447,13,R20 R21 R26 R27 R32 R33 R38 R39 R44 R45 R50 R51 R67,40.2kΩ 0603,R0603
C14663,18,C6 C11 C13 C14 C15 C17 C19 C21 C23 C25 C27 C28 C29 C30 C31 C34 C38 C43,100nF 0603,C0603
C15850,3,C10 C12 C42,10µF/25V 0805,C0805
C165948,1,J2,Type-C 16P 贴板式,USB-C_SMD-TYPE-C-31-M-12_1
C17928,1,R68,"1Ω ±1% 1206(阻尼电阻,起始值)",R1206
C19077410,1,DZ1,BZT52C12 12V 稳压管 SOD-123,SOD-123_L2.7-W1.6-LS3.7-RD
C19077580,13,D1 D7 D8 D11 D12 D15 D16 D19 D20 D23 D24 D27 D28,SMBJ26A TVS,SMB_L4.6-W3.6-LS5.3-RD
C20526,2,Q3 Q6,MMBT3904 NPN(总断路电平转换),SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR
C21117,1,C39,33nF/50V X7R 0603(C_comp),C0603
C21190,5,R8 R54 R55 R56 R57,1kΩ 0603,R0603
C2146,2,Q4 Q5,S8050 SOT-23,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR
C22775,12,R16 R17 R22 R23 R28 R29 R34 R35 R40 R41 R46 R47,100Ω 0603 栅阻,R0603
C22858,1,R63,102kΩ ±1% 0603(R_hi),R0603
C2286,1,LED1,红 0603,LED-SMD_L1.6-W0.8-R-RD
C22892,1,R64,18.2kΩ ±1% 0603(R_lo),R0603
C2297,12,LED2 LED3 LED4 LED5 LED6 LED7 LED8 LED9 LED10 LED11 LED12 LED13,翠绿 0805,LED0805-R-RD
C23162,2,R52 R53,4.7kΩ 0603,R0603
C23186,2,R9 R10,5.1kΩ 0603,R0603
C23208,1,R66,590kΩ ±1% 0603(UVLO1),R0603
C25803,3,R1 R3 R15,100kΩ 0603,R0603
C25804,23,R2 R4 R5 R11 R12 R13 R14 R18 R19 R24 R25 R30 R31 R36 R37 R42 R43 R48 R49 R58 R59 R60 R61,10kΩ 0603(Q3 基极串阻),R0603
C25811,1,R62,200kΩ ±1% 0603(R_T),R0603
C25972,1,R65,4.75kΩ ±1% 0603(R_comp),R0603
C2836439,12,C1 C2 C3 C4 C5 C16 C18 C20 C22 C24 C26 C35,,CAP-SMD_BD8.0-L8.3-W8.3-LS9.3-FD
C2864837,1,U1,INA237AIDGSR VSSOP-10,VSSOP-10_L3.0-W3.0-P0.50-LS4.9-BL
C2890395,12,Q7 Q8 Q9 Q10 Q11 Q12 Q13 Q14 Q15 Q16 Q17 Q18,UMW 20N06 TO-252,TO-252-2_L6.6-W6.1-P4.57-LS10.1-BL-1
C2906270,1,J9,Qwiic JST-SH 1.0mm 4P 卧贴,CONN-SMD_4P-P1.00_SHOU-HAN_1.0-4P-WT
C309062,2,C36 C37,22µF/25V X7R 1210 ×2,C1210
C318884,2,SW1 SW2,TS-1187A 轻触开关,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL_H1.5
C3281500,2,Q1 Q2,SQD50P06-15L-GE3 P-MOS,TO-252-2_L6.6-W6.1-P4.58-LS9.9-BR
C352820,1,F1,Keystone 3557-2 双联 ATO 保险丝座,FUSE-TH_4P-L19.8-W6.7_3557-2
C35490,15,D2 D3 D4 D5 D6 D9 D10 D13 D14 D17 D18 D21 D22 D25 D26,SS36B 续流 SMB,SMB_L4.6-W3.6-LS5.3-RD
C37815,1,J10,XH2.54-4P 立式,CONN-TH_4P-P2.50_XH-4A
C381466,5,C32 C33 C44 C45 C46,4.7µF/100V X7R 1210,C1210
C441333,6,J3 J4 J5 J6 J7 J8,KF2EDGV-3.81-3P 针座,CONN-TH_3P-P3.81_KF2EDGV-3.81-3P
C45783,1,C41,22µF/25V 0805,C0805
C459679,1,RS1,2mΩ ±1% 3W 2512 合金采样电阻,R2512
C474923,1,J11,KF128-2.54-5P 端子,CONN-TH_5P-P2.54_KF128-2.54-5P
C52140501,2,U6 U7,74HCT245PW TSSOP-20,TSSOP-20_L6.5-W4.4-P0.65-LS6.4-BL
C524806,1,U2,TPS54360BDDAR HSOIC-8 PowerPAD,SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL-EP2.0
C6186,1,U3,AMS1117-3.3 SOT-223,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR
C70119,1,PTC1,mSMD110-33V 1.1A/33V 1812,F1812
C701341,1,U4,ESP32-WROOM-32E-N4,WIFI-SMD_ESP32-WROOM-32E
C707824,1,J1,KF7.62-2P 输入端子(24A),CONN-TH_KF7.62-2P
C84681,1,U5,CH340C SOP-16,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL
C9400,1,L1,"33µH,Isat ≥5.5A,DCR 65mΩ,12.3×12.3mm",IND-SMD_L12.3-W12.3
无需采购,4,H1 H2 H3 H4,,MountingHole_3.2mm_M3
无需采购,9,TP1 TP2 TP3 TP4 TP5 TP6 TP7 TP8 TP9,测试焊盘,TestPoint_Pad_D1.5mm
