Designator,Mid X,Mid Y,Layer,Rotation
C1,12.0000mm,-91.2470mm,Top,0.0
C2,26.0000mm,-91.2470mm,Top,0.0
C3,40.0000mm,-91.2470mm,Top,0.0
C4,54.0000mm,-91.2470mm,Top,0.0
C5,68.0000mm,-91.2470mm,Top,0.0
C6,16.0000mm,-49.6850mm,Top,0.0
C10,78.0000mm,-97.8270mm,Top,0.0
C11,82.0000mm,-97.6870mm,Top,0.0
C12,69.0000mm,-97.8270mm,Top,0.0
C13,58.0000mm,-116.6870mm,Top,0.0
C14,26.0000mm,-79.6750mm,Top,90.0
C15,64.0000mm,-79.6750mm,Top,90.0
C16,29.0000mm,-67.5150mm,Top,0.0
C17,29.0000mm,-73.1550mm,Top,0.0
C18,43.0000mm,-67.5150mm,Top,0.0
C19,43.0000mm,-73.1550mm,Top,0.0
C20,57.0000mm,-67.5150mm,Top,0.0
C21,57.0000mm,-73.1550mm,Top,0.0
C22,71.0000mm,-67.5150mm,Top,0.0
C23,71.0000mm,-73.1550mm,Top,0.0
C24,85.0000mm,-67.5150mm,Top,0.0
C25,85.0000mm,-73.1550mm,Top,0.0
C26,99.0000mm,-67.5150mm,Top,0.0
C27,99.0000mm,-73.1550mm,Top,0.0
C28,55.0000mm,-132.5000mm,Top,0.0
C29,59.0000mm,-132.5000mm,Top,0.0
C30,63.0000mm,-132.5000mm,Top,0.0
C31,67.0000mm,-132.5000mm,Top,0.0
C32,22.0000mm,-98.5070mm,Top,0.0
C33,24.0000mm,-104.3570mm,Top,0.0
C34,27.0000mm,-98.3670mm,Top,90.0
C35,60.0000mm,-107.0070mm,Top,0.0
C36,36.0000mm,-117.5070mm,Top,0.0
C37,36.0000mm,-125.4920mm,Top,0.0
C38,47.0000mm,-111.0370mm,Top,0.0
C39,43.0000mm,-103.5370mm,Top,0.0
C40,43.0000mm,-111.0370mm,Top,0.0
C41,49.0000mm,-124.8120mm,Top,0.0
C42,46.0000mm,-132.5000mm,Top,0.0
C43,46.0000mm,-135.0000mm,Top,0.0
D1,11.0000mm,-57.3150mm,Top,0.0
D2,24.0000mm,-117.8170mm,Top,0.0
D3,42.0000mm,-117.8170mm,Top,0.0
D4,42.0000mm,-125.8020mm,Top,0.0
D5,27.4000mm,-23.7950mm,Top,0.0
D6,32.6000mm,-28.2250mm,Top,0.0
D7,27.4000mm,-56.3150mm,Top,0.0
D8,32.6000mm,-60.7450mm,Top,0.0
D9,41.4000mm,-23.7950mm,Top,0.0
D10,46.6000mm,-28.2250mm,Top,0.0
D11,41.4000mm,-56.3150mm,Top,0.0
D12,46.6000mm,-60.7450mm,Top,0.0
D13,55.4000mm,-23.7950mm,Top,0.0
D14,60.6000mm,-28.2250mm,Top,0.0
D15,55.4000mm,-56.3150mm,Top,0.0
D16,60.6000mm,-60.7450mm,Top,0.0
D17,69.4000mm,-23.7950mm,Top,0.0
D18,74.6000mm,-28.2250mm,Top,0.0
D19,69.4000mm,-56.3150mm,Top,0.0
D20,74.6000mm,-60.7450mm,Top,0.0
D21,83.4000mm,-23.7950mm,Top,0.0
D22,88.6000mm,-28.2250mm,Top,0.0
D23,83.4000mm,-56.3150mm,Top,0.0
D24,88.6000mm,-60.7450mm,Top,0.0
D25,97.4000mm,-23.7950mm,Top,0.0
D26,102.6000mm,-28.2250mm,Top,0.0
D27,97.4000mm,-56.3150mm,Top,0.0
D28,102.6000mm,-60.7450mm,Top,0.0
DZ1,7.0000mm,-37.0950mm,Top,0.0
F1,11.0000mm,-19.4950mm,Top,0.0
F2,30.0000mm,-18.6650mm,Top,0.0
F3,44.0000mm,-18.6650mm,Top,0.0
F4,58.0000mm,-18.6650mm,Top,0.0
F5,72.0000mm,-18.6650mm,Top,0.0
F6,86.0000mm,-18.6650mm,Top,0.0
F7,99.1000mm,-18.6650mm,Top,0.0
J1,11.0000mm,-8.0000mm,Top,180.0
J2,76.0000mm,-141.0000mm,Top,0.0
J3,30.0000mm,-8.0000mm,Top,180.0
J4,44.0000mm,-8.0000mm,Top,180.0
J5,58.0000mm,-8.0000mm,Top,180.0
J6,72.0000mm,-8.0000mm,Top,180.0
J7,86.0000mm,-8.0000mm,Top,180.0
J8,100.0000mm,-8.0000mm,Top,180.0
J9,10.0000mm,-141.0000mm,Top,180.0
J10,22.0000mm,-141.0000mm,Top,180.0
J11,36.0000mm,-142.0000mm,Top,180.0
L1,14.0000mm,-109.0270mm,Top,0.0
LED1,57.0000mm,-97.6770mm,Top,0.0
LED2,4.0000mm,-80.5600mm,Top,0.0
LED3,8.7600mm,-80.5600mm,Top,0.0
LED4,10.4000mm,-77.9600mm,Top,0.0
LED5,13.6000mm,-80.5600mm,Top,0.0
LED6,18.3600mm,-80.5600mm,Top,0.0
LED7,20.0000mm,-77.9600mm,Top,0.0
LED8,40.0000mm,-80.5600mm,Top,0.0
LED9,41.6400mm,-77.9600mm,Top,0.0
LED10,46.4000mm,-80.5600mm,Top,0.0
LED11,92.0000mm,-80.5600mm,Top,0.0
LED12,96.7600mm,-80.5600mm,Top,0.0
LED13,98.4000mm,-77.9600mm,Top,0.0
PTC1,6.0000mm,-98.9570mm,Top,0.0
Q1,7.6000mm,-29.3145mm,Top,90.0
Q2,14.4000mm,-29.3145mm,Top,90.0
Q3,7.0000mm,-42.1750mm,Top,0.0
Q4,74.0000mm,-117.4570mm,Top,0.0
Q5,74.0000mm,-125.4420mm,Top,0.0
Q6,77.0000mm,-79.7650mm,Top,0.0
Q7,30.0000mm,-37.2300mm,Top,0.0
Q8,30.0000mm,-49.0600mm,Top,0.0
Q9,44.0000mm,-37.2300mm,Top,0.0
Q10,44.0000mm,-49.0600mm,Top,0.0
Q11,58.0000mm,-37.2300mm,Top,0.0
Q12,58.0000mm,-49.0600mm,Top,0.0
Q13,72.0000mm,-37.2300mm,Top,0.0
Q14,72.0000mm,-49.0600mm,Top,0.0
Q15,86.0000mm,-37.2300mm,Top,0.0
Q16,86.0000mm,-49.0600mm,Top,0.0
Q17,100.0000mm,-37.2300mm,Top,0.0
Q18,100.0000mm,-49.0600mm,Top,0.0
R1,7.0000mm,-39.3350mm,Top,0.0
R2,14.5000mm,-36.8250mm,Top,0.0
R3,14.5000mm,-39.3350mm,Top,0.0
R4,65.0000mm,-97.5870mm,Top,0.0
R5,74.0000mm,-97.5870mm,Top,0.0
